BIGConf,audiofile,framedurationms,kbitspersecond,PER,exp,PLC,pesq,stoi
1,mic_M05_sa1,10.0,32,0.3,1,Pattern,2.2934234142303467,0.9515398467587523
1,mic_M05_sa1,10.0,32,0.3,2,AllZeroesPLC,2.0766875743865967,0.9366512924002655
1,mic_M05_sa1,10.0,32,0.3,2,RepeatPreviousPLC,2.264897346496582,0.9479979811844673
1,mic_M05_sa1,10.0,32,0.3,2,Pattern,1.951345682144165,0.9449313132840508
1,mic_M05_sa1,10.0,32,0.3,3,AllZeroesPLC,2.1813199520111084,0.9405818183655109
1,mic_M05_sa1,10.0,32,0.3,3,RepeatPreviousPLC,2.5075185298919678,0.9602812628038822
1,mic_M05_sa1,10.0,32,0.3,3,Pattern,2.0369317531585693,0.9545333246342198
1,mic_M05_sa1,10.0,32,0.3,4,AllZeroesPLC,2.4059290885925293,0.9537566715968807
1,mic_M05_sa1,10.0,32,0.3,4,RepeatPreviousPLC,2.369786262512207,0.9657491254212398
1,mic_M05_sa1,10.0,32,0.3,4,Pattern,2.1246917247772217,0.9592158065407628
1,mic_M05_sa1,10.0,32,0.3,5,AllZeroesPLC,2.962144374847412,0.9677791560706489
1,mic_M05_sa1,10.0,32,0.3,5,RepeatPreviousPLC,2.9208738803863525,0.9713984999026009
1,mic_M05_sa1,10.0,32,0.3,5,Pattern,2.8299849033355713,0.9646719245797162
1,mic_M05_sa1,10.0,32,0.3,6,AllZeroesPLC,2.2158167362213135,0.9443943570771052
1,mic_M05_sa1,10.0,32,0.3,6,RepeatPreviousPLC,2.0195114612579346,0.9564343856208053
1,mic_M05_sa1,10.0,32,0.3,6,Pattern,1.8232333660125732,0.9552699601161986
1,mic_M05_sa1,10.0,32,0.3,7,AllZeroesPLC,2.5604701042175293,0.9431075194977497
1,mic_M05_sa1,10.0,32,0.3,7,RepeatPreviousPLC,2.4536945819854736,0.9579006419304429
1,mic_M05_sa1,10.0,32,0.3,7,Pattern,2.2502589225769043,0.9618246119955239
1,mic_M05_sa1,10.0,32,0.3,8,AllZeroesPLC,2.3684232234954834,0.9504696292013602
1,mic_M05_sa1,10.0,32,0.3,8,RepeatPreviousPLC,2.5712568759918213,0.9621922434046242
1,mic_M05_sa1,10.0,32,0.3,8,Pattern,2.177428960800171,0.9578098205227117
1,mic_M05_sa1,10.0,32,0.3,9,AllZeroesPLC,2.4736125469207764,0.9659613454275966
1,mic_M05_sa1,10.0,32,0.3,9,RepeatPreviousPLC,2.5953590869903564,0.978294081799452
1,mic_M05_sa1,10.0,32,0.3,9,Pattern,2.5383503437042236,0.9763151949019307
7,mic_F01_sa2,10.0,32,0.3,0,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,0,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,0,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,1,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,1,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,1,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,2,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,2,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,2,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,3,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,3,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,3,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,4,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,4,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,4,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,5,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,5,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,5,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,6,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,6,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,6,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,7,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,7,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,7,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,8,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,8,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,8,Pattern,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,9,AllZeroesPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,9,RepeatPreviousPLC,4.199315071105957,0.9918144736553065
7,mic_F01_sa2,10.0,32,0.3,9,Pattern,4.199315071105957,0.9918144736553065
7,mic_F07_si1588,10.0,32,0.3,0,AllZeroesPLC,4.288154602050781,0.9910786532753062
7,mic_F07_si1588,10.0,32,0.3,0,RepeatPreviousPLC,4.288154602050781,0.9910786532753062
7,mic_F07_si1588,10.0,32,0.3,0,Pattern,4.288154602050781,0.9910786532753062
7,mic_F07_si1588,10.0,32,0.3,1,AllZeroesPLC,4.288154602050781,0.9910786532753062
7,mic_F07_si1588,10.0,32,0.3,1,RepeatPreviousPLC,4.288154602050781,0.9910786532753062
